e	V(N001,N002)
-3.000000000000000e+000	-6.256735e-001
-2.900000000000000e+000	-6.237216e-001
-2.800000000000000e+000	-6.216319e-001
-2.700000000000000e+000	-6.194923e-001
-2.600000000000000e+000	-6.172545e-001
-2.500000000000000e+000	-6.149093e-001
-2.400000000000000e+000	-6.124455e-001
-2.299999999999999e+000	-6.098498e-001
-2.199999999999999e+000	-6.071079e-001
-2.099999999999999e+000	-6.042017e-001
-1.999999999999999e+000	-6.011103e-001
-1.899999999999999e+000	-5.978085e-001
-1.799999999999999e+000	-5.942652e-001
-1.699999999999999e+000	-5.904428e-001
-1.599999999999999e+000	-5.862935e-001
-1.499999999999999e+000	-5.817566e-001
-1.399999999999999e+000	-5.767536e-001
-1.299999999999999e+000	-5.711793e-001
-1.199999999999998e+000	-5.648904e-001
-1.099999999999998e+000	-5.576830e-001
-9.999999999999983e-001	-5.492561e-001
-8.999999999999984e-001	-5.391409e-001
-7.999999999999984e-001	-5.265576e-001
-6.999999999999984e-001	-5.100953e-001
-5.999999999999984e-001	-4.865372e-001
-4.999999999999985e-001	-4.496736e-001
-3.999999999999985e-001	-3.872988e-001
-2.999999999999985e-001	-2.982214e-001
-1.999999999999985e-001	-1.997995e-001
-9.999999999999848e-002	-9.998005e-002
1.526556658859590e-015	-1.556553e-011
1.000000000000015e-001	9.999780e-002
2.000000000000015e-001	1.999976e-001
3.000000000000015e-001	2.999975e-001
4.000000000000016e-001	3.999975e-001
5.000000000000016e-001	4.999975e-001
6.000000000000015e-001	5.999976e-001
7.000000000000015e-001	6.999975e-001
8.000000000000015e-001	7.999975e-001
9.000000000000015e-001	8.999975e-001
1.000000000000002e+000	9.999975e-001
1.100000000000002e+000	1.099998e+000
1.200000000000002e+000	1.199998e+000
1.300000000000002e+000	1.299997e+000
1.400000000000002e+000	1.399998e+000
1.500000000000002e+000	1.499998e+000
1.600000000000002e+000	1.599998e+000
1.700000000000002e+000	1.699998e+000
1.800000000000002e+000	1.799997e+000
1.900000000000002e+000	1.899998e+000
2.000000000000002e+000	1.999998e+000
2.100000000000002e+000	2.099997e+000
2.200000000000002e+000	2.199998e+000
2.300000000000003e+000	2.299997e+000
2.400000000000003e+000	2.399998e+000
2.500000000000003e+000	2.499998e+000
2.600000000000003e+000	2.599997e+000
2.700000000000003e+000	2.699998e+000
2.800000000000003e+000	2.799997e+000
2.900000000000003e+000	2.899998e+000
3.000000000000003e+000	2.999998e+000
3.100000000000003e+000	3.099997e+000
3.200000000000003e+000	3.199998e+000
3.300000000000003e+000	3.299997e+000
3.400000000000004e+000	3.399998e+000
3.500000000000004e+000	3.499998e+000
3.600000000000004e+000	3.599997e+000
3.700000000000004e+000	3.699998e+000
3.800000000000004e+000	3.799997e+000
3.900000000000004e+000	3.899998e+000
4.000000000000000e+000	3.999998e+000
