e	I(D)
-3.000000000000000e+000	-2.523001e-009
-2.900000000000000e+000	-2.522900e-009
-2.800000000000000e+000	-2.522800e-009
-2.700000000000000e+000	-2.522700e-009
-2.600000000000000e+000	-2.522600e-009
-2.500000000000000e+000	-2.522500e-009
-2.400000000000000e+000	-2.522400e-009
-2.299999999999999e+000	-2.522301e-009
-2.199999999999999e+000	-2.522201e-009
-2.099999999999999e+000	-2.522101e-009
-1.999999999999999e+000	-2.522001e-009
-1.899999999999999e+000	-2.521900e-009
-1.799999999999999e+000	-2.521800e-009
-1.699999999999999e+000	-2.521700e-009
-1.599999999999999e+000	-2.521600e-009
-1.499999999999999e+000	-2.521501e-009
-1.399999999999999e+000	-2.521401e-009
-1.299999999999999e+000	-2.521300e-009
-1.199999999999998e+000	-2.521200e-009
-1.099999999999998e+000	-2.521100e-009
-9.999999999999983e-001	-2.521000e-009
-8.999999999999984e-001	-2.520900e-009
-7.999999999999984e-001	-2.520800e-009
-6.999999999999984e-001	-2.520700e-009
-5.999999999999984e-001	-2.520596e-009
-4.999999999999985e-001	-2.520459e-009
-3.999999999999985e-001	-2.520030e-009
-2.999999999999985e-001	-2.516940e-009
-1.999999999999985e-001	-2.489675e-009
-9.999999999999848e-002	-2.242742e-009
1.526556658859590e-015	8.504817e-023
1.000000000000015e-001	2.036720e-008
2.000000000000015e-001	2.046093e-007
3.000000000000015e-001	1.815040e-006
4.000000000000016e-001	1.297038e-005
5.000000000000016e-001	5.136016e-005
6.000000000000015e-001	1.157797e-004
7.000000000000015e-001	1.939256e-004
8.000000000000015e-001	2.790840e-004
9.000000000000015e-001	3.682526e-004
1.000000000000002e+000	4.599582e-004
1.100000000000002e+000	5.533936e-004
1.200000000000002e+000	6.480765e-004
1.300000000000002e+000	7.436980e-004
1.400000000000002e+000	8.400497e-004
1.500000000000002e+000	9.369847e-004
1.600000000000002e+000	1.034396e-003
1.700000000000002e+000	1.132202e-003
1.800000000000002e+000	1.230342e-003
1.900000000000002e+000	1.328767e-003
2.000000000000002e+000	1.427439e-003
2.100000000000002e+000	1.526325e-003
2.200000000000002e+000	1.625400e-003
2.300000000000003e+000	1.724643e-003
2.400000000000003e+000	1.824036e-003
2.500000000000003e+000	1.923562e-003
2.600000000000003e+000	2.023210e-003
2.700000000000003e+000	2.122967e-003
2.800000000000003e+000	2.222825e-003
2.900000000000003e+000	2.322774e-003
3.000000000000003e+000	2.422807e-003
3.100000000000003e+000	2.522917e-003
3.200000000000003e+000	2.623100e-003
3.300000000000003e+000	2.723348e-003
3.400000000000004e+000	2.823658e-003
3.500000000000004e+000	2.924026e-003
3.600000000000004e+000	3.024447e-003
3.700000000000004e+000	3.124919e-003
3.800000000000004e+000	3.225437e-003
3.900000000000004e+000	3.326000e-003
4.000000000000000e+000	3.426604e-003
