e	V(N001,N002)	V(n002)
-3.000000000000000e+000	-2.999998e+000	-2.472540e-006
-2.900000000000000e+000	-2.899998e+000	-2.472442e-006
-2.800000000000000e+000	-2.799997e+000	-2.472344e-006
-2.700000000000000e+000	-2.699998e+000	-2.472246e-006
-2.600000000000000e+000	-2.599997e+000	-2.472148e-006
-2.500000000000000e+000	-2.499998e+000	-2.472050e-006
-2.400000000000000e+000	-2.399998e+000	-2.471952e-006
-2.299999999999999e+000	-2.299997e+000	-2.471854e-006
-2.199999999999999e+000	-2.199998e+000	-2.471756e-006
-2.099999999999999e+000	-2.099997e+000	-2.471658e-006
-1.999999999999999e+000	-1.999998e+000	-2.471560e-006
-1.899999999999999e+000	-1.899998e+000	-2.471462e-006
-1.799999999999999e+000	-1.799997e+000	-2.471364e-006
-1.699999999999999e+000	-1.699998e+000	-2.471266e-006
-1.599999999999999e+000	-1.599998e+000	-2.471168e-006
-1.499999999999999e+000	-1.499998e+000	-2.471070e-006
-1.399999999999999e+000	-1.399998e+000	-2.470972e-006
-1.299999999999999e+000	-1.299997e+000	-2.470874e-006
-1.199999999999998e+000	-1.199998e+000	-2.470776e-006
-1.099999999999998e+000	-1.099998e+000	-2.470678e-006
-9.999999999999983e-001	-9.999975e-001	-2.470580e-006
-8.999999999999984e-001	-8.999975e-001	-2.470482e-006
-7.999999999999984e-001	-7.999975e-001	-2.470384e-006
-6.999999999999984e-001	-6.999975e-001	-2.470286e-006
-5.999999999999984e-001	-5.999976e-001	-2.470184e-006
-4.999999999999985e-001	-4.999975e-001	-2.470050e-006
-3.999999999999985e-001	-3.999975e-001	-2.469630e-006
-2.999999999999985e-001	-2.999975e-001	-2.466602e-006
-1.999999999999985e-001	-1.999976e-001	-2.439881e-006
-9.999999999999848e-002	-9.999780e-002	-2.197888e-006
1.526556658859590e-015	3.829441e-015	-2.302885e-015
1.000000000000015e-001	9.998004e-002	1.995986e-005
2.000000000000015e-001	1.997995e-001	2.005158e-004
3.000000000000015e-001	2.982221e-001	1.777907e-003
4.000000000000016e-001	3.872892e-001	1.271084e-002
5.000000000000016e-001	4.496671e-001	5.033289e-002
6.000000000000015e-001	4.865362e-001	1.134638e-001
7.000000000000015e-001	5.099740e-001	1.900260e-001
8.000000000000015e-001	5.264995e-001	2.735005e-001
9.000000000000015e-001	5.392595e-001	3.607405e-001
1.000000000000002e+000	5.493172e-001	4.506828e-001
1.100000000000002e+000	5.577034e-001	5.422966e-001
1.200000000000002e+000	5.649000e-001	6.351001e-001
1.300000000000002e+000	5.711847e-001	7.288153e-001
1.400000000000002e+000	5.767566e-001	8.232434e-001
1.500000000000002e+000	5.817584e-001	9.182416e-001
1.600000000000002e+000	5.862947e-001	1.013705e+000
1.700000000000002e+000	5.904436e-001	1.109556e+000
1.800000000000002e+000	5.942657e-001	1.205734e+000
1.900000000000002e+000	5.978088e-001	1.302191e+000
2.000000000000002e+000	6.011106e-001	1.398889e+000
2.100000000000002e+000	6.042018e-001	1.495798e+000
2.200000000000002e+000	6.071080e-001	1.592892e+000
2.300000000000003e+000	6.098499e-001	1.690150e+000
2.400000000000003e+000	6.124455e-001	1.787555e+000
2.500000000000003e+000	6.149094e-001	1.885091e+000
2.600000000000003e+000	6.172546e-001	1.982745e+000
2.700000000000003e+000	6.194923e-001	2.080508e+000
2.800000000000003e+000	6.216319e-001	2.178368e+000
2.900000000000003e+000	6.236818e-001	2.276318e+000
3.000000000000003e+000	6.256492e-001	2.374351e+000
3.100000000000003e+000	6.275408e-001	2.472459e+000
3.200000000000003e+000	6.293626e-001	2.570637e+000
3.300000000000003e+000	6.311188e-001	2.668881e+000
3.400000000000004e+000	6.328151e-001	2.767185e+000
3.500000000000004e+000	6.344547e-001	2.865545e+000
3.600000000000004e+000	6.360419e-001	2.963958e+000
3.700000000000004e+000	6.375799e-001	3.062420e+000
3.800000000000004e+000	6.390717e-001	3.160928e+000
3.900000000000004e+000	6.405201e-001	3.259480e+000
4.000000000000000e+000	6.419277e-001	3.358072e+000
