e	V(N001,N002)	N002
-3,00E+15	-3,00E+06	-2,47E+00
-2,90E+15	-2,90E+06	-2,47E+00
-2,80E+15	-2,80E+06	-2,47E+00
-2,70E+15	-2,70E+06	-2,47E+00
-2,60E+15	-2,60E+06	-2,47E+00
-2,50E+15	-2,50E+06	-2,47E+00
-2,40E+15	-2,40E+06	-2,47E+00
-2,30E+15	-2,30E+06	-2,47E+00
-2,20E+15	-2,20E+06	-2,47E+00
-2,10E+15	-2,10E+06	-2,47E+00
-2,00E+15	-2,00E+06	-2,47E+00
-1,90E+15	-1,90E+06	-2,47E+00
-1,80E+15	-1,80E+06	-2,47E+00
-1,70E+15	-1,70E+06	-2,47E+00
-1,60E+15	-1,60E+06	-2,47E+00
-1,50E+15	-1,50E+06	-2,47E+00
-1,40E+15	-1,40E+06	-2,47E+00
-1,30E+15	-1,30E+06	-2,47E+00
-1,20E+15	-1,20E+06	-2,47E+00
-1,10E+15	-1,10E+06	-2,47E+00
-1,00E+15	-1,00E+06	-2,47E+00
-9,00E+14	-9,00E+05	-2,47E+00
-8,00E+14	-8,00E+05	-2,47E+00
-7,00E+14	-7,00E+05	-2,47E+00
-6,00E+14	-6,00E+05	-2,47E+00
-5,00E+14	-5,00E+05	-2,47E+00
-4,00E+14	-4,00E+05	-2,47E+00
-3,00E+14	-3,00E+05	-2,47E+00
-2,00E+14	-2,00E+05	-2,44E+00
-1,00E+14	-1,00E+05	-2,20E+00
1,53E+00	3,83E-09	-2,30E-09
1,00E+14	1,00E+05	2,00E+01
2,00E+14	2,00E+05	2,01E+02
3,00E+14	2,98E+05	1,78E+03
4,00E+14	3,87E+05	1,27E+04
5,00E+14	4,50E+05	5,03E+04
6,00E+14	4,87E+05	1,13E+05
7,00E+14	5,10E+05	1,90E+05
8,00E+14	5,26E+05	2,74E+05
9,00E+14	5,39E+05	3,61E+05
1,00E+15	5,49E+05	4,51E+05
1,10E+15	5,58E+05	5,42E+05
1,20E+15	5,65E+05	6,35E+05
1,30E+15	5,71E+05	7,29E+05
1,40E+15	5,77E+05	8,23E+05
1,50E+15	5,82E+05	9,18E+05
1,60E+15	5,86E+05	1,01E+06
1,70E+15	5,90E+05	1,11E+06
1,80E+15	5,94E+05	1,21E+06
1,90E+15	5,98E+05	1,30E+06
2,00E+15	6,01E+05	1,40E+06
2,10E+15	6,04E+05	1,50E+06
2,20E+15	6,07E+05	1,59E+06
2,30E+15	6,10E+05	1,69E+06
2,40E+15	6,12E+05	1,79E+06
2,50E+15	6,15E+05	1,89E+06
2,60E+15	6,17E+05	1,98E+06
2,70E+15	6,19E+05	2,08E+06
2,80E+15	6,22E+05	2,18E+06
2,90E+15	6,24E+05	2,28E+06
3,00E+15	6,26E+05	2,37E+06
3,10E+15	6,28E+05	2,47E+06
3,20E+15	6,29E+05	2,57E+06
3,30E+15	6,31E+05	2,67E+06
3,40E+15	6,33E+05	2,77E+06
3,50E+15	6,34E+05	2,87E+06
3,60E+15	6,36E+05	2,96E+06
3,70E+15	6,38E+05	3,06E+06
3,80E+15	6,39E+05	3,16E+06
3,90E+15	6,41E+05	3,26E+06
4,00E+15	6,42E+05	3,36E+06
