time	V(n001)
0.000000000000000e+000	0.000000e+000
9.765624975344167e-010	6.771233e-013
1.953124995068833e-009	3.579032e-012
9.144531226912281e-006	2.433960e-007
1.828710932882949e-005	8.077423e-007
2.742968743074671e-005	1.693043e-006
3.657226553266392e-005	2.899297e-006
4.571484363458113e-005	4.426505e-006
5.485742173649834e-005	6.274667e-006
6.399999983841553e-005	8.443783e-006
1.279999996768311e-004	5.999541e-005
1.596302324205146e-004	1.722517e-004
1.832559986271997e-004	4.321104e-004
2.018005495548763e-004	9.334356e-004
2.185687330225031e-004	1.907234e-003
2.342497416741163e-004	3.707363e-003
2.495852174392672e-004	7.001766e-003
2.655498440266642e-004	1.301997e-002
2.814604276971704e-004	2.294159e-002
2.995279817747691e-004	4.045155e-002
3.222699596417008e-004	7.321948e-002
3.618702665927920e-004	1.505286e-001
4.081845430692140e-004	2.608112e-001
4.560221965479815e-004	3.900537e-001
5.219143556923326e-004	5.819141e-001
6.195706056923326e-004	8.788593e-001
8.148831056923326e-004	1.493410e+000
1.107851855692333e-003	2.433710e+000
1.372918819978047e-003	3.293353e+000
1.637985784263762e-003	4.138627e+000
1.903052748549476e-003	4.969532e+000
2.168119712835191e-003	5.786069e+000
2.433186677120906e-003	6.588236e+000
2.698253641406620e-003	7.376034e+000
2.963320605692334e-003	8.149464e+000
3.437650962835191e-003	9.485053e+000
3.911981319978047e-003	1.071284e+001
4.386311677120903e-003	1.183283e+001
4.860642034263759e-003	1.284502e+001
5.334972391406616e-003	1.374942e+001
5.809302748549471e-003	1.454601e+001
6.283633105692327e-003	1.523480e+001
7.092784891406610e-003	1.605516e+001
7.901936677120892e-003	1.647462e+001
8.711088462835175e-003	1.649316e+001
9.520240248549458e-003	1.611078e+001
1.032939203426374e-002	1.532750e+001
1.113854381997803e-002	1.414330e+001
1.194769560569231e-002	1.255819e+001
1.232436971283516e-002	1.171078e+001
1.270104381997802e-002	1.081089e+001
1.307771792712087e-002	9.858517e+000
1.345439203426373e-002	8.853656e+000
1.383106614140659e-002	7.796309e+000
1.420774024854944e-002	6.686476e+000
1.458441435569230e-002	5.524158e+000
1.476577596283515e-002	4.956295e+000
1.494713756997801e-002	4.385399e+000
1.512849917712087e-002	3.811468e+000
1.530986078426373e-002	3.234505e+000
1.549122239140658e-002	2.654508e+000
1.567258399854944e-002	2.071477e+000
1.585394560569230e-002	1.485413e+000
1.604925810569230e-002	8.698802e-001
1.614691435569230e-002	5.739124e-001
1.624457060569230e-002	2.974140e-001
1.631350548484695e-002	1.273052e-001
1.635027713291970e-002	5.799426e-002
1.637602815262930e-002	2.777191e-002
1.640631526689293e-002	8.232002e-003
1.641561139975203e-002	5.036686e-003
1.642551676934839e-002	3.308483e-003
1.643671161072846e-002	2.045347e-003
1.644871170756862e-002	1.200436e-003
1.646015776139644e-002	7.174494e-004
1.647284667397102e-002	4.077138e-004
1.648638516845808e-002	2.220774e-004
1.650203945852372e-002	1.095320e-004
1.651970748349795e-002	4.815369e-005
1.654119664443042e-002	1.647649e-005
1.656705173434621e-002	2.990334e-006
1.660061007972590e-002	-1.171956e-006
1.664374927112085e-002	-7.125889e-007
1.670274328806802e-002	8.344203e-006
1.680039953806803e-002	9.879949e-005
1.683897662614597e-002	3.195418e-004
1.686438270956736e-002	8.125636e-004
1.688177896225860e-002	1.646384e-003
1.689747106480509e-002	3.201063e-003
1.691271582464598e-002	6.076461e-003
