time	V(n001)
0.000000000000000e+000	0.000000e+000
9.765624975344167e-010	1.861457e-020
1.953124995068833e-009	9.932673e-020
1.324180640442236e-005	-3.233167e-012
2.648165968384965e-005	1.263324e-011
3.972151296327695e-005	4.759922e-011
5.296136624270424e-005	1.016648e-010
6.620121952213154e-005	1.748299e-010
7.944107280155882e-005	2.670946e-010
9.268092608098608e-005	3.784588e-010
1.109156187803765e-004	6.747057e-010
1.276217441675093e-004	1.172419e-009
1.427763003229650e-004	2.000670e-009
1.569422250900673e-004	3.405202e-009
1.703104208656109e-004	5.778007e-009
1.832098439626874e-004	9.826016e-009
1.957480527411963e-004	1.671679e-008
2.080818520719758e-004	2.850329e-008
2.202566880628704e-004	4.863499e-008
2.323447678468341e-004	8.310089e-008
2.443635835657129e-004	1.420542e-007
2.563465763069552e-004	2.430089e-007
2.682999788345124e-004	4.157964e-007
2.802394437584757e-004	7.116990e-007
2.921669414004374e-004	1.218284e-006
3.040899371649738e-004	2.085813e-006
3.160090169453227e-004	3.571201e-006
3.279280196884329e-004	6.114869e-006
3.398474536330537e-004	1.047036e-005
3.517700068469967e-004	1.792872e-005
3.636972408029118e-004	3.069949e-005
3.756329108437863e-004	5.256671e-005
3.875818930016249e-004	9.000635e-005
3.995531438158048e-004	1.541032e-004
4.115611585940205e-004	2.638193e-004
4.236310032128879e-004	4.515864e-004
4.358048962870527e-004	7.728565e-004
4.481545774830777e-004	1.322533e-003
4.608007203339670e-004	2.263651e-003
4.739454041715367e-004	3.879730e-003
4.879248169566830e-004	6.674314e-003
5.032626700138118e-004	1.156778e-002
5.209576422230668e-004	2.040152e-002
5.427518559209560e-004	3.713749e-002
5.724864358983355e-004	7.024904e-002
6.033411488491273e-004	1.173236e-001
6.430188777581048e-004	1.959872e-001
6.992447300045901e-004	3.326297e-001
7.782932917080764e-004	5.550955e-001
8.718889518280658e-004	8.434922e-001
9.634369002056491e-004	1.139254e+000
1.061093150205649e-003	1.461030e+000
1.256405650205649e-003	2.108029e+000
1.549374400205650e-003	3.078810e+000
1.842343150205650e-003	4.027887e+000
2.135311900205651e-003	4.955260e+000
2.428280650205651e-003	5.860929e+000
2.721249400205651e-003	6.744894e+000
3.014218150205652e-003	7.607155e+000
3.307186900205651e-003	8.447712e+000
3.725713685919936e-003	9.598413e+000
4.144240471634221e-003	1.066430e+001
4.562767257348506e-003	1.164538e+001
4.981294043062790e-003	1.254165e+001
5.399820828777075e-003	1.335310e+001
5.818347614491360e-003	1.407974e+001
6.236874400205644e-003	1.472157e+001
6.432186900205643e-003	1.498126e+001
6.627499400205642e-003	1.521856e+001
6.822811900205642e-003	1.543347e+001
7.018124400205641e-003	1.562600e+001
7.213436900205640e-003	1.579614e+001
7.408749400205640e-003	1.594389e+001
7.604061900205639e-003	1.606926e+001
7.897030650205639e-003	1.621625e+001
8.092343150205638e-003	1.628789e+001
8.189999400205638e-003	1.631622e+001
8.287655650205637e-003	1.633983e+001
8.385311900205637e-003	1.635900e+001
8.482968150205637e-003	1.637404e+001
8.580624400205636e-003	1.638535e+001
8.678280650205636e-003	1.639340e+001
8.775936900205636e-003	1.639869e+001
8.873593150205635e-003	1.640177e+001
8.971249400205635e-003	1.640316e+001
9.068905650205635e-003	1.640334e+001
9.166561900205634e-003	1.640275e+001
9.234144191280170e-003	1.640203e+001
9.294323025143636e-003	1.640123e+001
9.350234017067641e-003	1.640040e+001
9.402289639446860e-003	1.639960e+001
9.451237779428471e-003	1.639881e+001
9.497608761482170e-003	1.639805e+001
9.546689017879672e-003	1.639723e+001
9.590896265099583e-003	1.639649e+001
9.633512704750340e-003	1.639577e+001
9.674221346244559e-003	1.639509e+001
9.713648691993201e-003	1.639442e+001
9.751835684557918e-003	1.639377e+001
9.789085657499707e-003	1.639314e+001
9.825617238404156e-003	1.639252e+001
9.861696985738843e-003	1.639191e+001
9.897640876058983e-003	1.639130e+001
9.934380360541043e-003	1.639067e+001
9.974373681084852e-003	1.638999e+001
1.002319934609265e-002	1.638916e+001
1.008074352495003e-002	1.638819e+001
1.015533227660097e-002	1.638692e+001
1.025298852660097e-002	1.638526e+001
1.035064477660097e-002	1.638360e+001
1.044830102660097e-002	1.638195e+001
1.054595727660097e-002	1.638029e+001
1.064361352660097e-002	1.637863e+001
1.074126977660097e-002	1.637697e+001
1.083892602660097e-002	1.637532e+001
1.093658227660097e-002	1.637366e+001
1.103423852660097e-002	1.637200e+001
1.113189477660097e-002	1.637035e+001
1.122955102660097e-002	1.636869e+001
1.142486352660097e-002	1.636538e+001
1.162017602660097e-002	1.636206e+001
1.181548852660097e-002	1.635875e+001
1.210845727660097e-002	1.635379e+001
1.240142602660097e-002	1.634882e+001
1.273624745517239e-002	1.634315e+001
1.307106888374382e-002	1.633748e+001
1.340589031231525e-002	1.633181e+001
1.374071174088668e-002	1.632615e+001
1.407553316945810e-002	1.632049e+001
1.441035459802953e-002	1.631482e+001
1.474517602660096e-002	1.630916e+001
1.519160459802953e-002	1.630162e+001
1.563803316945811e-002	1.629408e+001
1.608446174088669e-002	1.628654e+001
1.653089031231526e-002	1.627901e+001
1.697731888374384e-002	1.627148e+001
1.742374745517241e-002	1.626396e+001
1.787017602660099e-002	1.625644e+001
1.823289924088671e-002	1.625033e+001
1.859562245517243e-002	1.624422e+001
1.895834566945815e-002	1.623811e+001
1.932106888374387e-002	1.623201e+001
1.968379209802958e-002	1.622591e+001
2.004651531231530e-002	1.621981e+001
2.040923852660102e-002	1.621372e+001
2.064640370517246e-002	1.620973e+001
2.088356888374389e-002	1.620575e+001
2.112073406231532e-002	1.620177e+001
2.135789924088675e-002	1.619779e+001
2.159506441945818e-002	1.619381e+001
2.183222959802961e-002	1.618983e+001
2.206939477660105e-002	1.618585e+001
2.216705102660105e-002	1.618421e+001
2.226470727660105e-002	1.618257e+001
2.236236352660105e-002	1.618093e+001
2.246001977660105e-002	1.617930e+001
2.255767602660105e-002	1.617766e+001
2.265533227660106e-002	1.617602e+001
2.275298852660106e-002	1.617439e+001
2.285064477660106e-002	1.617275e+001
2.294830102660106e-002	1.617111e+001
2.304595727660106e-002	1.616948e+001
2.310652765182560e-002	1.616846e+001
2.315528474925886e-002	1.616764e+001
2.319869876409447e-002	1.616692e+001
2.324022448113648e-002	1.616622e+001
2.328395930332033e-002	1.616549e+001
2.332462428475398e-002	1.616481e+001
2.336573163212142e-002	1.616412e+001
2.340654618803712e-002	1.616344e+001
2.344788828849528e-002	1.616275e+001
2.348992976930964e-002	1.616206e+001
2.353291821287525e-002	1.616135e+001
2.357705397349728e-002	1.616064e+001
2.362252456194604e-002	1.615992e+001
2.366954522701454e-002	1.615922e+001
2.371837538589144e-002	1.615854e+001
2.376936837336251e-002	1.615795e+001
2.382304651327914e-002	1.615752e+001
2.388025734963012e-002	1.615744e+001
2.394252630338368e-002	1.615806e+001
2.401304511894680e-002	1.616020e+001
2.410019731948910e-002	1.616581e+001
2.419785356948910e-002	1.617678e+001
2.429550981948910e-002	1.619321e+001
2.439316606948910e-002	1.621463e+001
2.449082231948910e-002	1.623951e+001
2.458847856948910e-002	1.626592e+001
2.468613481948910e-002	1.629209e+001
2.478379106948911e-002	1.631667e+001
2.488144731948911e-002	1.633872e+001
2.497910356948911e-002	1.635772e+001
2.507675981948911e-002	1.637343e+001
2.517441606948911e-002	1.638586e+001
2.527207231948911e-002	1.639519e+001
2.536972856948911e-002	1.640173e+001
2.546738481948912e-002	1.640591e+001
2.556504106948912e-002	1.640819e+001
2.566269731948912e-002	1.640903e+001
2.576035356948912e-002	1.640886e+001
2.585800981948912e-002	1.640805e+001
2.592326912367558e-002	1.640727e+001
2.598170083666655e-002	1.640644e+001
2.603615717491273e-002	1.640562e+001
2.608708550514971e-002	1.640481e+001
2.613500744333979e-002	1.640403e+001
2.618060292520663e-002	1.640328e+001
2.622868546972515e-002	1.640247e+001
2.627215521442430e-002	1.640174e+001
2.631421694584397e-002	1.640103e+001
2.635524044144787e-002	1.640034e+001
2.639777748469092e-002	1.639962e+001
2.644822355000904e-002	1.639876e+001
2.650450017758317e-002	1.639781e+001
2.657412898770978e-002	1.639662e+001
2.666078684627119e-002	1.639515e+001
2.675844309627119e-002	1.639349e+001
2.685609934627119e-002	1.639183e+001
2.695375559627120e-002	1.639017e+001
2.705141184627120e-002	1.638852e+001
2.714906809627120e-002	1.638686e+001
2.724672434627120e-002	1.638520e+001
2.734438059627120e-002	1.638354e+001
2.744203684627120e-002	1.638188e+001
2.753969309627120e-002	1.638023e+001
2.763734934627121e-002	1.637857e+001
2.773500559627121e-002	1.637691e+001
2.783266184627121e-002	1.637525e+001
2.802797434627121e-002	1.637194e+001
2.822328684627121e-002	1.636863e+001
2.841859934627122e-002	1.636531e+001
2.871156809627122e-002	1.636035e+001
2.900453684627122e-002	1.635538e+001
2.933935827484266e-002	1.634971e+001
2.967417970341409e-002	1.634403e+001
3.000900113198552e-002	1.633836e+001
3.034382256055696e-002	1.633270e+001
3.067864398912839e-002	1.632703e+001
3.101346541769982e-002	1.632137e+001
3.134828684627126e-002	1.631570e+001
3.179471541769983e-002	1.630816e+001
3.224114398912841e-002	1.630062e+001
3.268757256055699e-002	1.629308e+001
3.313400113198557e-002	1.628554e+001
3.358042970341415e-002	1.627801e+001
3.402685827484273e-002	1.627048e+001
3.447328684627130e-002	1.626295e+001
3.483601006055702e-002	1.625684e+001
3.519873327484274e-002	1.625073e+001
3.556145648912846e-002	1.624463e+001
3.592417970341418e-002	1.623852e+001
3.628690291769990e-002	1.623242e+001
3.664962613198562e-002	1.622632e+001
3.701234934627134e-002	1.622022e+001
3.726346541769991e-002	1.621600e+001
3.751458148912849e-002	1.621178e+001
3.776569756055706e-002	1.620756e+001
3.801681363198564e-002	1.620335e+001
3.826792970341422e-002	1.619913e+001
3.851904577484279e-002	1.619491e+001
3.877016184627136e-002	1.619070e+001
3.886781809627136e-002	1.618906e+001
3.896547434627137e-002	1.618742e+001
3.906313059627137e-002	1.618579e+001
3.916078684627137e-002	1.618415e+001
3.925844309627137e-002	1.618251e+001
3.935609934627137e-002	1.618087e+001
