time	V(n001)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
8.342435787733035e-009	3.145024e-005	1.244160e-006
1.668487157546607e-008	6.290048e-005	3.536744e-006
2.502730736319910e-008	9.435072e-005	6.877750e-006
3.336974315093214e-008	1.258010e-004	1.126718e-005
4.171217893866518e-008	1.572512e-004	1.670503e-005
5.005461472639821e-008	1.887014e-004	2.319131e-005
5.839705051413122e-008	2.201517e-004	3.072601e-005
8.772510635213105e-008	3.307158e-004	6.071177e-005
1.220944751115649e-007	4.602853e-004	1.048298e-004
1.679841614912679e-007	6.332854e-004	1.735852e-004
2.296250490250363e-007	8.656660e-004	2.763311e-004
3.149734863510048e-007	1.187422e-003	4.287404e-004
4.359774775842302e-007	1.643596e-003	6.531393e-004
6.222129615190046e-007	2.345687e-003	1.004090e-003
6.590473694446822e-005	2.487658e-001	1.247556e-001
1.311872609274174e-004	4.946755e-001	2.482477e-001
1.964697849103666e-004	7.400747e-001	3.714804e-001
2.617523088933158e-004	9.849635e-001	4.944537e-001
3.270348328762651e-004	1.229342e+000	6.171676e-001
3.923173568592143e-004	1.473210e+000	7.396220e-001
4.575998808421634e-004	1.716567e+000	8.618170e-001
7.505686308421633e-004	2.791970e+000	1.401831e+000
1.043537380842163e-003	3.833349e+000	1.924758e+000
1.336506130842164e-003	4.828015e+000	2.424227e+000
1.629474880842164e-003	5.763846e+000	2.894152e+000
1.922443630842164e-003	6.629439e+000	3.328808e+000
2.215412380842164e-003	7.414246e+000	3.722897e+000
2.508381130842164e-003	8.108702e+000	4.071618e+000
2.801349880842165e-003	8.704344e+000	4.370722e+000
2.996662380842165e-003	9.042906e+000	4.540732e+000
3.094318630842165e-003	9.193914e+000	4.616559e+000
3.191974880842165e-003	9.332464e+000	4.686090e+000
3.289631130842165e-003	9.458365e+000	4.748933e+000
3.387287380842165e-003	9.571448e+000	4.803535e+000
3.484943630842165e-003	9.671559e+000	4.846640e+000
3.582599880842165e-003	9.758564e+000	4.876116e+000
3.680256130842166e-003	9.832343e+000	4.894217e+000
3.777912380842166e-003	9.892797e+000	4.905170e+000
3.875568630842166e-003	9.939844e+000	4.911738e+000
3.973224880842166e-003	9.973421e+000	4.915576e+000
4.070881130842165e-003	9.993481e+000	4.917679e+000
4.168537380842165e-003	9.999997e+000	4.918344e+000
4.266193630842165e-003	9.992962e+000	4.917606e+000
4.363849880842164e-003	9.972383e+000	4.915356e+000
4.461506130842164e-003	9.938290e+000	4.911254e+000
4.559162380842164e-003	9.890728e+000	4.904566e+000
4.656818630842163e-003	9.829762e+000	4.893636e+000
4.754474880842163e-003	9.755474e+000	4.875260e+000
4.852131130842163e-003	9.667965e+000	4.845262e+000
4.949787380842162e-003	9.567354e+000	4.801681e+000
5.047443630842162e-003	9.453776e+000	4.746719e+000
5.145099880842162e-003	9.327388e+000	4.683610e+000
5.242756130842161e-003	9.188357e+000	4.613841e+000
5.340412380842161e-003	9.036876e+000	4.537782e+000
5.633381130842160e-003	8.509851e+000	4.273154e+000
5.926349880842159e-003	7.879123e+000	3.956453e+000
6.219318630842158e-003	7.152381e+000	3.591539e+000
6.512287380842157e-003	6.338480e+000	3.182859e+000
6.805256130842156e-003	5.447337e+000	2.735394e+000
7.098224880842155e-003	4.489813e+000	2.254597e+000
7.391193630842154e-003	3.477576e+000	1.746327e+000
7.684162380842153e-003	2.422960e+000	1.216779e+000
7.977131130842152e-003	1.338818e+000	6.724096e-001
8.172443630842151e-003	6.061680e-001	3.045350e-001
8.270099880842151e-003	2.383619e-001	1.198569e-001
8.367756130842150e-003	-1.297673e-001	-6.498007e-002
8.465412380842150e-003	-4.977205e-001	-2.497207e-001
8.563068630842149e-003	-8.649994e-001	-4.325157e-001
8.660724880842149e-003	-1.231106e+000	-5.914961e-001
8.736929846217429e-003	-1.515659e+000	-6.668279e-001
8.818997567497634e-003	-1.820699e+000	-6.994897e-001
8.916653817497634e-003	-2.181385e+000	-7.167418e-001
9.111966317497633e-003	-2.893404e+000	-7.349620e-001
9.404935067497632e-003	-3.930851e+000	-7.496647e-001
9.697903817497631e-003	-4.920395e+000	-7.592601e-001
9.990872567497630e-003	-5.849980e+000	-7.662601e-001
1.028384131749763e-002	-6.708276e+000	-7.716620e-001
1.057681006749763e-002	-7.484825e+000	-7.759390e-001
1.086977881749763e-002	-8.170163e+000	-7.793497e-001
1.116274756749763e-002	-8.755939e+000	-7.820472e-001
1.145571631749763e-002	-9.235015e+000	-7.841274e-001
1.174868506749762e-002	-9.601553e+000	-7.856517e-001
1.204165381749762e-002	-9.851085e+000	-7.866589e-001
1.233462256749762e-002	-9.980572e+000	-7.871725e-001
1.262759131749762e-002	-9.988434e+000	-7.872036e-001
1.292056006749762e-002	-9.874577e+000	-7.867528e-001
1.321352881749762e-002	-9.640388e+000	-7.858103e-001
1.350649756749762e-002	-9.288720e+000	-7.843547e-001
1.379946631749762e-002	-8.823859e+000	-7.823492e-001
1.409243506749762e-002	-8.251471e+000	-7.797360e-001
1.438540381749761e-002	-7.578529e+000	-7.764246e-001
1.467837256749761e-002	-6.813235e+000	-7.722712e-001
1.497134131749761e-002	-5.964914e+000	-7.670349e-001
1.526431006749761e-002	-5.043905e+000	-7.602806e-001
1.555727881749761e-002	-4.061430e+000	-7.511099e-001
1.585024756749761e-002	-3.029463e+000	-7.371753e-001
1.604556006749762e-002	-2.320179e+000	-7.212582e-001
1.614321631749762e-002	-1.960579e+000	-7.071654e-001
